!;' <P>;XY;!;XY
!!;' <P>;VVFIN;!!;V
!!!;' <P>;VVFIN;!!!;V
!!!!;' <P>;VVFIN;!!!!;V
!!!!!;' <P>;VVFIN;!!!!!;V
!!!!!!;' <P>;VVFIN;!!!!!!;V
!!!!!!!;' <P>;VVFIN;!!!!!!!;V
!-/;' <P>;VVFIN;! - /;V MFG V
!.;' <P>;VVFIN;!.;V
!?;' <P>;VVFIN;!?;V
";' <P>;XY;";XY
"Missing"-Plakate;m ' I s . I N . p l a . k a: . t @;VVFIN;"missing" - plakate;V MFG V
"Missing"-Poster;m ' I s . I N . p o: s . t 6;VVFIN;"missing" - poster;V MFG V
&;' <P>;VVFIN;&;V
';' <P>;VVFIN;';V
'";' <P>;VVFIN;'";V
(;' <P>;XY;(;XY
(13.15);' <P>;CARD;(13.15);CARD
(2;' <P>;CARD;(2;CARD
(2.);' <P>;CARD;(2.);CARD
(3;' <P>;CARD;(3;CARD
(3.);' <P>;CARD;(3.);CARD
(4;' <P>;CARD;(4;CARD
(5;' <P>;CARD;(5;CARD
(5.);' <P>;CARD;(5.);CARD
(6;' <P>;CARD;(6;CARD
);' <P>;XY;);XY
*;' <P>;VVFIN;*;V
**;' <P>;VVFIN;**;V
***;' <P>;VVFIN;***;V
****;' <P>;VVFIN;****;V
**nen;n @ n;VVFIN;**nen;V
*?;' <P>;VVFIN;*?;V
*ichct;' I C k t;VVFIN;*ichct;V
*un;' U n;VVFIN;*un;V
+;' <P>;VVFIN;+;V
,;' <P>;XY;,;XY
-;' <P>;XY;-;XY
.;' <P>;XY;.;XY
..;' <P>;VVFIN;..;V
...;' <P>;XY;...;XY
....;' <P>;VVFIN;....;V
.....;' <P>;VVFIN;.....;V
........;' <P>;VVFIN;........;V
.?!.;' <P>;VVFIN;.?!.;V
/;' <P>;XY;/;XY
0;' <P>;CARD;0;CARD
0123456;' <P>;CARD;0123456;CARD
03.00;' <P>;CARD;03.00;CARD
